* Measurement data measured by REW V5.20.8
* Source: Generic_1 [plughw:1,0], Capture (Capture), R, volume: 0.508
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Jul, 2022 10:34:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Jul 10
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), dBFS(dBFS), Phase(degrees)
226.318376, -33.703, -142.9653
226.684587, -33.703, -143.0073
227.050798, -33.702, -143.0499
227.417009, -33.701, -143.0927
227.783220, -33.701, -143.1349
228.149431, -33.700, -143.1762
228.515642, -33.699, -143.2163
228.881853, -33.698, -143.2552
229.248064, -33.697, -143.2931
229.614275, -33.696, -143.3304
229.980486, -33.695, -143.3672
230.346697, -33.693, -143.4037
230.712908, -33.691, -143.4395
231.079119, -33.689, -143.4741
231.445330, -33.686, -143.5070
231.811541, -33.684, -143.5379
232.177752, -33.681, -143.5666
232.543963, -33.679, -143.5932
232.910174, -33.676, -143.6181
233.276385, -33.674, -143.6422
233.642595, -33.673, -143.6659
234.008806, -33.671, -143.6900
234.375017, -33.671, -143.7152
234.741228, -33.670, -143.7417
235.107439, -33.670, -143.7697
235.473650, -33.669, -143.7991
235.839861, -33.669, -143.8295
236.206072, -33.668, -143.8604
236.572283, -33.667, -143.8911
236.938494, -33.666, -143.9213
237.304705, -33.665, -143.9507
237.670916, -33.663, -143.9792
238.037127, -33.662, -144.0071
238.403338, -33.660, -144.0346
238.769549, -33.659, -144.0622
239.135760, -33.657, -144.0901
239.501971, -33.655, -144.1185
239.868182, -33.653, -144.1474
240.234393, -33.650, -144.1767
240.600604, -33.648, -144.2064
240.966815, -33.646, -144.2363
241.333026, -33.644, -144.2665
241.699237, -33.643, -144.2968
242.065448, -33.641, -144.3273
242.431659, -33.640, -144.3579
242.797870, -33.639, -144.3886
243.164081, -33.639, -144.4194
243.530292, -33.639, -144.4502
243.896503, -33.639, -144.4808
244.262714, -33.640, -144.5112
244.628925, -33.641, -144.5413
244.995135, -33.641, -144.5710
245.361346, -33.642, -144.6004
245.727557, -33.643, -144.6295
246.093768, -33.643, -144.6582
246.459979, -33.643, -144.6867
246.826190, -33.642, -144.7149
247.192401, -33.641, -144.7428
247.558612, -33.640, -144.7704
247.924823, -33.638, -144.7978
248.291034, -33.636, -144.8250
248.657245, -33.634, -144.8521
249.023456, -33.631, -144.8792
249.389667, -33.629, -144.9064
249.755878, -33.628, -144.9339
250.122089, -33.626, -144.9615
250.488300, -33.625, -144.9892
250.854511, -33.623, -145.0168
251.220722, -33.622, -145.0441
251.586933, -33.622, -145.0709
251.953144, -33.621, -145.0969
252.319355, -33.621, -145.1221
252.685566, -33.620, -145.1463
253.051777, -33.620, -145.1697
253.417988, -33.620, -145.1924
253.784199, -33.620, -145.2147
254.150410, -33.620, -145.2367
254.516621, -33.619, -145.2588
254.882832, -33.619, -145.2811
255.249043, -33.619, -145.3037
255.615254, -33.619, -145.3268
255.981465, -33.619, -145.3502
256.347675, -33.619, -145.3743
256.713886, -33.619, -145.3990
257.080097, -33.619, -145.4245
257.446308, -33.618, -145.4510
257.812519, -33.618, -145.4783
258.178730, -33.617, -145.5064
258.544941, -33.616, -145.5350
258.911152, -33.614, -145.5634
259.277363, -33.613, -145.5910
259.643574, -33.611, -145.6173
260.009785, -33.609, -145.6416
260.375996, -33.608, -145.6638
260.742207, -33.607, -145.6837
261.108418, -33.605, -145.7017
261.474629, -33.604, -145.7183
261.840840, -33.604, -145.7342
262.207051, -33.603, -145.7500
262.573262, -33.602, -145.7664
262.939473, -33.601, -145.7836
263.305684, -33.601, -145.8019
263.671895, -33.600, -145.8212
264.038106, -33.599, -145.8413
264.404317, -33.597, -145.8620
264.770528, -33.596, -145.8830
265.136739, -33.595, -145.9043
265.502950, -33.593, -145.9257
265.869161, -33.592, -145.9473
266.235372, -33.591, -145.9691
266.601583, -33.590, -145.9912
266.967794, -33.589, -146.0134
267.334004, -33.589, -146.0355
267.700215, -33.588, -146.0571
268.066426, -33.588, -146.0781
268.432637, -33.588, -146.0980
268.798848, -33.588, -146.1168
269.165059, -33.588, -146.1343
269.531270, -33.589, -146.1508
269.897481, -33.589, -146.1664
270.263692, -33.589, -146.1816
270.629903, -33.589, -146.1967
270.996114, -33.588, -146.2121
271.362325, -33.588, -146.2280
271.728536, -33.587, -146.2445
272.094747, -33.587, -146.2617
272.460958, -33.586, -146.2796
272.827169, -33.585, -146.2981
273.193380, -33.584, -146.3172
273.559591, -33.582, -146.3367
273.925802, -33.581, -146.3565
274.292013, -33.579, -146.3766
274.658224, -33.578, -146.3969
275.024435, -33.576, -146.4171
275.390646, -33.575, -146.4374
275.756857, -33.573, -146.4575
276.123068, -33.572, -146.4773
276.489279, -33.571, -146.4969
276.855490, -33.570, -146.5162
277.221701, -33.569, -146.5352
277.587912, -33.568, -146.5540
277.954123, -33.567, -146.5726
278.320334, -33.566, -146.5912
278.686544, -33.565, -146.6099
279.052755, -33.565, -146.6288
279.418966, -33.564, -146.6480
279.785177, -33.563, -146.6676
280.151388, -33.562, -146.6875
280.517599, -33.562, -146.7078
280.883810, -33.561, -146.7283
281.250021, -33.560, -146.7488
281.616232, -33.560, -146.7690
281.982443, -33.560, -146.7887
282.348654, -33.560, -146.8076
282.714865, -33.560, -146.8254
283.081076, -33.560, -146.8422
283.447287, -33.560, -146.8577
283.813498, -33.560, -146.8721
284.179709, -33.561, -146.8855
284.545920, -33.561, -146.8983
284.912131, -33.562, -146.9107
285.278342, -33.562, -146.9231
285.644553, -33.563, -146.9358
286.010764, -33.563, -146.9491
286.376975, -33.564, -146.9631
286.743186, -33.564, -146.9777
287.109397, -33.564, -146.9930
287.475608, -33.565, -147.0088
287.841819, -33.565, -147.0249
288.208030, -33.565, -147.0411
288.574241, -33.565, -147.0574
288.940452, -33.565, -147.0736
289.306663, -33.564, -147.0899
289.672873, -33.564, -147.1063
290.039084, -33.563, -147.1228
290.405295, -33.562, -147.1395
290.771506, -33.561, -147.1562
291.137717, -33.560, -147.1730
291.503928, -33.558, -147.1898
291.870139, -33.557, -147.2064
292.236350, -33.556, -147.2228
292.602561, -33.555, -147.2388
292.968772, -33.554, -147.2544
293.334983, -33.553, -147.2695
293.701194, -33.552, -147.2843
294.067405, -33.551, -147.2985
294.433616, -33.550, -147.3122
294.799827, -33.548, -147.3255
295.166038, -33.547, -147.3381
295.532249, -33.545, -147.3502
295.898460, -33.543, -147.3618
296.264671, -33.541, -147.3730
296.630882, -33.538, -147.3839
296.997093, -33.535, -147.3945
297.363304, -33.531, -147.4051
297.729515, -33.528, -147.4157
298.095726, -33.524, -147.4263
298.461937, -33.520, -147.4369
298.828148, -33.517, -147.4474
299.194359, -33.514, -147.4576
299.560570, -33.511, -147.4673
299.926781, -33.510, -147.4764
300.292992, -33.509, -147.4846
300.659203, -33.509, -147.4918
301.025413, -33.510, -147.4981
301.391624, -33.511, -147.5036
301.757835, -33.514, -147.5084
302.124046, -33.516, -147.5128
302.490257, -33.519, -147.5169
302.856468, -33.521, -147.5211
303.222679, -33.524, -147.5255
303.588890, -33.527, -147.5303
303.955101, -33.529, -147.5356
304.321312, -33.531, -147.5415
304.687523, -33.533, -147.5482
305.053734, -33.535, -147.5556
305.419945, -33.537, -147.5639
305.786156, -33.538, -147.5730
306.152367, -33.539, -147.5829
306.518578, -33.540, -147.5936
306.884789, -33.540, -147.6049
307.251000, -33.540, -147.6165
307.617211, -33.540, -147.6283
307.983422, -33.540, -147.6401
308.349633, -33.540, -147.6517
308.715844, -33.539, -147.6629
309.082055, -33.538, -147.6738
309.448266, -33.538, -147.6843
309.814477, -33.537, -147.6944
310.180688, -33.535, -147.7043
310.546899, -33.534, -147.7141
310.913110, -33.533, -147.7238
311.279321, -33.532, -147.7336
311.645532, -33.531, -147.7435
312.011743, -33.529, -147.7536
312.377953, -33.528, -147.7637
312.744164, -33.527, -147.7738
313.110375, -33.526, -147.7838
313.476586, -33.525, -147.7935
313.842797, -33.525, -147.8031
314.209008, -33.524, -147.8123
314.575219, -33.523, -147.8212
314.941430, -33.523, -147.8298
315.307641, -33.523, -147.8382
315.673852, -33.522, -147.8465
316.040063, -33.522, -147.8547
316.406274, -33.522, -147.8630
